location,total_sqft,bath,balcony,BHK,price
other,2440.0,3.0,1.0,3.0,142.0
7th phase jp nagar,1140.0,2.0,1.0,2.0,57.0
ambedkar nagar,3565.0,4.0,3.0,4.0,255.0
yelahanka,1322.0,2.0,2.0,2.0,80.0
ananth nagar,890.0,2.0,1.0,2.0,27.0
2nd phase judicial layout,1350.0,2.0,2.0,3.0,47.25
electronic city,1575.0,3.0,1.0,3.0,94.5
other,1200.0,3.0,0.0,3.0,90.0
other,1839.0,3.0,3.0,3.0,160.0
7th phase jp nagar,1270.0,2.0,2.0,2.0,93.0
other,1352.0,3.0,0.0,3.0,135.0
varthur road,900.0,2.0,1.0,2.0,27.0
yelahanka,1100.0,2.0,1.0,2.0,60.0
old madras road,935.0,2.0,1.0,2.0,32.72
channasandra,1000.0,2.0,2.0,2.0,35.0
singasandra,1306.0,2.0,2.0,3.0,58.0
uttarahalli,1330.0,2.0,1.0,3.0,56.0
7th phase jp nagar,1850.0,3.0,2.0,3.0,155.0
other,1450.0,3.0,3.0,3.0,65.0
sarjapur  road,1826.0,3.0,2.0,3.0,125.0
yelahanka,1104.0,2.0,2.0,2.0,58.0
balagere,1012.0,2.0,1.0,2.0,70.0
yelahanka,1100.0,2.0,1.0,2.0,70.0
other,850.0,2.0,2.0,2.0,45.0
iblur village,3596.0,5.0,1.0,4.0,279.0
electronic city phase ii,911.0,2.0,1.0,2.0,26.5
raja rajeshwari nagar,1303.0,2.0,1.0,2.0,55.79
hebbal,3895.0,4.0,2.0,4.0,405.0
chandapura,1065.0,2.0,1.0,3.0,33.0
panathur,1359.0,2.0,1.0,2.0,87.0
vijayanagar,1527.0,3.0,2.0,3.0,115.0
devanahalli,2400.0,5.0,3.0,5.0,100.0
8th phase jp nagar,2700.0,4.0,2.0,4.0,130.0
ambalipura,896.0,2.0,1.0,2.0,30.13
electronic city phase ii,1300.0,2.0,2.0,2.0,28.0
kengeri satellite town,890.0,2.0,1.0,2.0,35.0
7th phase jp nagar,1100.0,2.0,1.0,2.0,44.0
devarachikkanahalli,947.0,2.0,2.0,2.0,43.0
hormavu,750.0,2.0,0.0,2.0,58.0
other,1175.0,2.0,1.0,2.0,48.72
other,1150.0,2.0,1.0,2.0,48.0
varthur,1090.0,2.0,2.0,2.0,48.0
yelahanka,2145.0,3.0,3.0,3.0,125.0
sarjapur,4201.0,4.0,3.0,4.0,435.0
other,1100.0,2.0,1.0,3.0,53.0
hegde nagar,1179.0,2.0,2.0,2.0,49.35
epip zone,2160.0,4.0,2.0,3.0,172.0
yelahanka,1780.0,3.0,2.0,3.0,107.0
begur road,1933.0,3.0,2.0,3.0,98.0
kambipura,1082.0,2.0,1.0,3.0,57.5
ramamurthy nagar,1200.0,2.0,1.0,2.0,48.0
green glen layout,1517.0,3.0,3.0,3.0,100.0
chikkalasandra,1230.0,2.0,2.0,2.0,48.0
thanisandra,1564.0,3.0,1.0,3.0,104.0
hegde nagar,1348.0,2.0,2.0,3.0,80.5
thubarahalli,1200.0,2.0,2.0,2.0,79.55
yelahanka,654.0,1.0,1.0,1.0,38.4
other,1250.0,3.0,2.0,3.0,39.5
yelahanka,1823.0,3.0,2.0,3.0,103.0
malleshwaram,900.0,2.0,1.0,2.0,72.0
other,1290.0,2.0,3.0,2.0,40.63
other,1233.0,2.0,3.0,2.0,100.0
electronic city,1599.0,3.0,2.0,3.0,125.0
other,1508.0,3.0,1.0,3.0,75.0
kogilu,1140.0,2.0,1.0,2.0,50.66
hennur road,901.0,2.0,1.0,2.0,49.5
kanakapura,1090.0,2.0,2.0,2.0,38.15
vittasandra,1246.0,2.0,1.0,2.0,68.0
budigere,1820.0,3.0,2.0,3.0,93.0
other,540.0,1.0,1.0,1.0,36.0
electronic city phase ii,1065.0,2.0,1.0,2.0,30.75
kogilu,1250.0,2.0,1.0,2.0,55.55
other,1200.0,2.0,1.0,2.0,75.0
nagavara,2400.0,3.0,2.0,3.0,252.0
kaikondrahalli,1645.0,3.0,2.0,3.0,100.0
tumkur road,1240.0,2.0,1.0,3.0,79.0
haralur road,1243.0,2.0,2.0,2.0,46.0
other,2791.0,3.0,1.0,3.0,223.0
other,1385.0,3.0,3.0,3.0,90.0
other,1991.0,3.0,2.0,3.0,160.0
other,1100.0,2.0,2.0,2.0,57.6
whitefield,3004.0,4.0,2.0,4.0,285.0
kudlu,1027.0,2.0,2.0,2.0,43.0
electronic city,1070.0,2.0,1.0,2.0,53.0
other,4000.0,4.0,3.0,4.0,170.0
uttarahalli,1085.0,2.0,2.0,2.0,43.0
horamavu agara,1107.83,2.0,1.0,2.0,41.51
bannerghatta road,1181.0,2.0,0.0,2.0,55.0
9th phase jp nagar,1719.3,2.0,2.0,3.0,88.0
other,2800.0,5.0,3.0,7.0,95.0
ramamurthy nagar,950.0,2.0,1.0,2.0,50.79
other,1395.0,2.0,1.0,2.0,63.59
kodigehaali,2120.0,3.0,2.0,3.0,177.0
old madras road,1157.0,2.0,2.0,2.0,47.32
kr puram,1116.0,2.0,1.0,2.0,45.0
electronic city,1128.0,2.0,1.0,2.0,68.0
other,1620.0,3.0,2.0,3.0,98.0
other,1250.0,2.0,2.0,2.0,65.0
other,1060.0,2.0,2.0,2.0,42.0
garudachar palya,1060.0,2.0,1.0,2.0,48.5
marathahalli,1358.0,2.0,1.0,2.0,81.0
old airport road,1150.0,2.0,1.0,2.0,90.0
haralur road,1027.0,2.0,2.0,2.0,44.0
marathahalli,1469.0,3.0,1.0,3.0,89.0
other,3300.0,8.0,3.0,8.0,310.0
kadugodi,3750.0,4.0,0.0,4.0,210.0
kanakpura road,700.0,2.0,1.0,2.0,36.0
anjanapura,1070.0,2.0,2.0,2.0,37.0
harlur,1200.0,2.0,1.0,2.0,49.5
marathahalli,2500.0,3.0,3.0,5.0,200.0
thanisandra,1411.0,3.0,1.0,3.0,93.25
rachenahalli,690.0,1.0,1.0,1.0,39.8
7th phase jp nagar,1680.0,3.0,2.0,3.0,117.0
hebbal kempapura,1485.0,3.0,3.0,2.0,132.0
kadugodi,1010.0,2.0,1.0,2.0,50.0
other,2045.0,3.0,2.0,3.0,108.0
other,1250.0,2.0,1.0,3.0,77.13
9th phase jp nagar,1466.0,2.0,2.0,2.0,71.0
electronic city,1571.0,3.0,2.0,3.0,105.0
kalena agrahara,1200.0,2.0,1.0,2.0,40.0
kasavanhalli,1476.0,3.0,0.0,3.0,89.0
other,2100.0,4.0,2.0,4.0,150.0
other,1357.0,2.0,2.0,3.0,65.0
raja rajeshwari nagar,1185.0,2.0,1.0,2.0,40.17
ramagondanahalli,1610.0,2.0,2.0,3.0,115.0
other,1050.0,2.0,2.0,2.0,65.0
electronic city,589.0,1.0,1.0,1.0,27.0
other,2000.0,4.0,0.0,5.0,65.0
other,1594.0,3.0,2.0,3.0,99.0
chikka tirupathi,3250.0,4.0,2.0,4.0,136.0
begur road,1100.0,2.0,1.0,2.0,71.42
bannerghatta road,1255.0,2.0,2.0,2.0,65.26
other,900.0,2.0,1.0,2.0,27.0
old madras road,1100.0,2.0,1.0,2.0,70.0
banaswadi,870.0,2.0,2.0,2.0,38.0
kundalahalli,1600.0,3.0,2.0,3.0,170.0
other,1069.0,2.0,1.0,2.0,55.0
hoodi,1400.0,2.0,1.0,2.0,78.0
uttarahalli,1045.0,2.0,1.0,2.0,45.0
haralur road,1850.0,3.0,2.0,3.0,120.0
kaggadasapura,1010.0,2.0,2.0,2.0,55.0
lingadheeranahalli,1530.0,2.0,2.0,3.0,90.0
other,1200.0,2.0,0.0,2.0,120.0
other,2515.0,4.0,3.0,3.0,155.0
electronic city,1571.0,3.0,2.0,3.0,89.0
other,2400.0,5.0,2.0,5.0,85.0
hennur road,1460.0,2.0,1.0,2.0,80.3
hosakerehalli,1200.0,2.0,1.0,3.0,100.0
hoodi,1258.5,2.0,0.0,2.0,59.135
other,1180.0,2.0,2.0,2.0,65.0
other,6000.0,1.0,1.0,1.0,276.0
sarjapur  road,1725.0,3.0,3.0,3.0,90.0
kasavanhalli,1375.0,2.0,2.0,2.0,72.0
abbigere,2200.0,6.0,2.0,6.0,68.0
lakshminarayana pura,1395.0,2.0,0.0,2.0,75.0
other,3754.0,6.0,2.0,4.0,430.0
nagarbhavi,1190.0,2.0,2.0,2.0,63.0
gottigere,1613.0,3.0,3.0,3.0,72.0
other,600.0,1.0,0.0,1.0,45.0
sarjapur  road,1418.0,2.0,2.0,2.0,78.0
balagere,1210.0,2.0,1.0,2.0,82.0
yelahanka,1835.0,3.0,1.0,3.0,108.0
marathahalli,1248.0,2.0,1.0,2.0,130.0
other,799.0,2.0,1.0,2.0,35.0
other,1280.0,2.0,1.0,2.0,49.75
electronic city phase ii,1116.0,2.0,2.0,2.0,40.0
indira nagar,1145.0,2.0,2.0,2.0,100.0
yelahanka,2650.0,4.0,1.0,4.0,223.0
kanakpura road,1500.0,3.0,2.0,3.0,97.0
hennur road,1155.0,2.0,1.0,2.0,69.18
begur,1304.0,3.0,0.0,3.0,65.0
electronic city,1070.0,2.0,1.0,2.0,54.0
old madras road,1160.0,2.0,1.0,2.0,42.0
other,930.0,1.0,1.0,2.0,55.0
other,1225.0,2.0,2.0,2.0,48.0
yelahanka new town,650.0,1.0,1.0,1.0,17.0
neeladri nagar,640.0,1.0,1.0,1.0,20.5
doddathoguru,750.0,1.0,1.0,1.0,25.5
other,2000.0,2.0,2.0,3.0,95.0
hebbal kempapura,1800.0,3.0,3.0,3.0,150.0
other,1460.0,3.0,2.0,3.0,70.0
hosakerehalli,2480.0,3.0,2.0,3.0,245.0
mahadevpura,1212.0,2.0,1.0,2.0,56.9
jp nagar,940.0,2.0,1.0,2.0,49.0
other,1200.0,2.0,2.0,2.0,55.0
other,2800.0,4.0,2.0,4.0,89.0
hennur,1231.0,2.0,2.0,2.0,48.0
budigere,1636.0,3.0,2.0,3.0,88.0
horamavu agara,982.0,2.0,1.0,2.0,47.65
bannerghatta road,1215.0,2.0,1.0,2.0,65.0
hosa road,1016.0,2.0,1.0,2.0,39.95
gm palaya,1030.0,2.0,1.0,2.0,60.0
other,1155.0,2.0,2.0,2.0,69.0
budigere,693.0,1.0,0.0,1.0,27.375
1st phase jp nagar,1590.0,3.0,3.0,3.0,131.0
other,530.0,1.0,1.0,1.0,20.0
sarjapur  road,1691.0,3.0,2.0,3.0,100.0
old madras road,2300.0,3.0,2.0,3.0,142.0
hennur road,1140.0,2.0,2.0,2.0,56.0
varthur,1210.0,2.0,1.0,2.0,60.0
kudlu,1293.0,2.0,2.0,3.0,85.0
bellandur,1605.0,3.0,2.0,3.0,85.0
other,1334.0,2.0,1.0,2.0,62.0
other,1550.0,2.0,3.0,3.0,70.0
koramangala,1083.0,2.0,1.0,2.0,100.0
attibele,850.0,1.0,1.0,2.0,25.0
budigere,664.0,1.0,1.0,1.0,35.4
sarjapur  road,1314.0,2.0,2.0,2.0,110.0
ramagondanahalli,2040.0,3.0,2.0,3.0,114.0
other,1450.0,2.0,1.0,3.0,65.0
other,3095.0,3.0,3.0,3.0,350.0
doddathoguru,855.0,2.0,1.0,2.0,32.0
hosa road,840.0,2.0,1.0,2.0,28.0
haralur road,1092.0,2.0,2.0,2.0,44.0
jalahalli,1478.0,2.0,2.0,2.0,125.0
lakshminarayana pura,1569.0,3.0,2.0,3.0,150.0
thanisandra,2000.0,3.0,2.0,3.0,99.0
harlur,1756.0,3.0,2.0,3.0,131.0
other,1639.0,3.0,1.0,3.0,77.89
other,750.0,1.0,2.0,1.0,25.0
other,2500.0,2.0,1.0,3.0,60.0
kr puram,1200.0,2.0,1.0,2.0,42.0
itpl,1200.0,3.0,1.0,3.0,68.4
budigere,664.0,1.0,1.0,1.0,35.0
other,1550.0,2.0,3.0,2.0,160.0
indira nagar,1210.0,2.0,1.0,2.0,102.0
banashankari,3580.0,3.0,1.0,3.0,411.0
rachenahalli,1530.0,2.0,2.0,3.0,74.4
electronic city,1108.0,2.0,1.0,2.0,67.15
vidyaranyapura,1200.0,2.0,2.0,3.0,65.0
other,1100.0,2.0,1.0,2.0,55.0
sarjapur  road,1346.0,2.0,1.0,2.0,74.03
bannerghatta road,1000.0,2.0,1.0,2.0,50.0
chandapura,1200.0,2.0,1.0,2.0,36.0
bhoganhalli,2439.0,4.0,3.0,4.0,170.0
jp nagar,820.0,2.0,1.0,2.0,45.0
marathahalli,950.0,2.0,2.0,2.0,46.7
other,1112.0,2.0,3.0,2.0,68.0
domlur,1800.0,3.0,2.0,3.0,150.0
hennur road,1081.0,2.0,1.0,2.0,30.27
other,1205.0,2.0,2.0,2.0,60.0
brookefield,1746.0,3.0,3.0,3.0,115.0
banashankari stage v,1510.0,3.0,3.0,3.0,47.57
8th phase jp nagar,1006.0,2.0,0.0,2.0,44.0
kammasandra,1057.0,2.0,1.0,2.0,35.0
channasandra,1050.0,2.0,2.0,2.0,41.0
hennur,1041.0,2.0,2.0,2.0,40.6
marathahalli,3400.0,4.0,3.0,4.0,235.0
cv raman nagar,1070.0,2.0,1.0,2.0,55.0
other,1180.0,2.0,2.0,2.0,48.0
varthur,2160.0,3.0,2.0,3.0,170.0
varthur road,850.0,2.0,1.0,2.0,25.4
ananth nagar,1319.0,3.0,1.0,3.0,42.0
other,1000.0,2.0,1.0,2.0,35.0
kalyan nagar,1280.0,2.0,1.0,2.0,48.0
other,2392.0,4.0,2.0,3.0,260.0
hebbal,1333.0,2.0,1.0,2.0,104.0
haralur road,1225.0,2.0,1.0,2.0,67.48
dasanapura,2400.0,5.0,2.0,4.0,100.0
other,530.0,1.0,1.0,1.0,18.0
harlur,1197.0,2.0,1.0,2.0,76.0
other,1512.0,1.0,2.0,2.0,65.01
other,1652.5,3.0,2.0,3.0,90.0
other,910.0,1.0,1.0,1.0,42.0
uttarahalli,850.0,2.0,2.0,2.0,37.93
7th phase jp nagar,1400.0,2.0,1.0,3.0,95.0
banashankari stage iii,1500.0,2.0,2.0,3.0,100.0
old madras road,1165.0,2.0,1.0,2.0,52.0
devanahalli,1010.0,2.0,1.0,2.0,51.0
thanisandra,1573.0,3.0,1.0,3.0,90.0
other,1062.0,2.0,2.0,2.0,47.0
choodasandra,1115.0,2.0,2.0,2.0,50.0
kudlu,1700.0,3.0,3.0,3.0,125.0
other,1800.0,3.0,2.0,3.0,88.0
nagarbhavi,1050.0,2.0,1.0,2.0,80.0
hormavu,1310.0,2.0,3.0,2.0,60.0
ambedkar nagar,1850.0,4.0,2.0,3.0,121.0
ambalipura,1607.0,2.0,2.0,3.0,112.0
other,1200.0,1.0,0.0,1.0,39.82
hebbal,1645.0,3.0,2.0,3.0,135.0
other,1650.0,3.0,2.0,3.0,78.0
hormavu,1141.0,2.0,1.0,2.0,44.4
horamavu agara,1250.0,3.0,2.0,3.0,65.0
other,1535.0,3.0,1.0,3.0,55.0
budigere,1139.0,2.0,2.0,2.0,72.0
r.t. nagar,1325.0,2.0,2.0,2.0,52.0
yeshwanthpur,1855.0,3.0,3.0,3.0,140.0
hennur road,2264.0,3.0,2.0,3.0,168.0
haralur road,1225.0,2.0,1.0,2.0,70.0
kalena agrahara,1765.0,3.0,1.0,3.0,125.0
other,1650.0,3.0,2.0,3.0,135.0
kumaraswami layout,1000.0,2.0,2.0,2.0,36.0
other,1250.0,2.0,1.0,3.0,70.0
marathahalli,1240.0,2.0,2.0,2.0,55.0
btm layout,1797.5712999999998,3.0,2.0,3.0,10.0
chandapura,1025.0,2.0,2.0,2.0,27.68
old airport road,2690.0,4.0,3.0,4.0,191.0
other,1210.0,2.0,2.0,2.0,53.0
yelahanka,1175.0,2.0,1.0,2.0,67.77
sahakara nagar,1100.0,2.0,2.0,3.0,75.0
parappana agrahara,1194.0,2.0,2.0,2.0,45.0
marathahalli,2181.0,3.0,2.0,4.0,152.0
hebbal,1636.0,3.0,1.0,3.0,119.0
whitefield,3262.0,4.0,2.0,4.0,260.0
bhoganhalli,1447.0,2.0,1.0,2.0,75.97
akshaya nagar,1884.0,3.0,3.0,3.0,98.0
hormavu,1065.0,2.0,1.0,2.0,50.92
other,900.0,2.0,3.0,2.0,35.0
9th phase jp nagar,1780.0,3.0,2.0,3.0,88.0
7th phase jp nagar,1035.0,2.0,1.0,2.0,39.33
other,1090.0,2.0,2.0,2.0,45.0
rayasandra,1314.0,2.0,2.0,3.0,63.0
kaggalipura,950.0,2.0,1.0,2.0,47.0
padmanabhanagar,1176.0,2.0,0.0,2.0,62.0
sarjapur  road,1693.0,3.0,2.0,3.0,125.0
marathahalli,2500.0,5.0,2.0,4.0,181.0
7th phase jp nagar,1000.0,2.0,2.0,2.0,60.0
haralur road,1140.0,2.0,2.0,2.0,43.0
yelahanka new town,450.0,1.0,1.0,1.0,15.0
kudlu,1027.0,2.0,2.0,2.0,44.0
other,1715.0,3.0,2.0,3.0,95.0
whitefield,1173.0,2.0,1.0,2.0,78.2
other,1013.0,2.0,2.0,2.0,60.0
hosur road,1170.0,2.0,1.0,2.0,48.0
marathahalli,1730.0,3.0,2.0,3.0,115.0
vidyaranyapura,1060.0,2.0,2.0,2.0,55.0
green glen layout,1717.0,3.0,3.0,3.0,125.0
electronic city phase ii,972.0,2.0,1.0,2.0,40.0
hosakerehalli,1596.0,3.0,3.0,3.0,79.8
other,1110.0,2.0,2.0,2.0,55.0
hennur,1259.0,2.0,2.0,2.0,57.0
other,2300.0,3.0,1.0,3.0,250.0
harlur,1174.0,2.0,1.0,2.0,75.0
other,1201.0,2.0,1.0,2.0,65.0
murugeshpalya,1550.0,3.0,2.0,3.0,74.0
other,2900.0,5.0,2.0,5.0,90.0
balagere,1205.0,2.0,1.0,2.0,78.5
ramagondanahalli,1151.0,2.0,2.0,2.0,42.5
old madras road,1210.0,2.0,1.0,2.0,77.0
hebbal,1250.0,2.0,1.0,2.0,55.55
chandapura,1200.0,2.0,1.0,3.0,52.0
other,1200.0,2.0,1.0,2.0,54.0
other,900.0,2.0,1.0,2.0,45.0
jakkur,3295.0,3.0,3.0,3.0,310.0
other,1160.0,2.0,3.0,2.0,55.0
kr puram,1700.0,3.0,3.0,3.0,105.0
gm palaya,1000.0,2.0,1.0,2.0,36.0
other,3000.0,3.0,3.0,4.0,170.0
kereguddadahalli,1015.0,2.0,1.0,2.0,35.0
panathur,1235.0,2.0,3.0,2.0,65.0
kudlu,1110.0,2.0,1.0,2.0,46.0
raja rajeshwari nagar,1133.0,2.0,1.0,2.0,49.07
hosa road,1537.515476,3.0,1.0,3.0,110.0
talaghattapura,2099.0,3.0,2.0,3.0,134.0
sarjapur  road,1314.0,2.0,2.0,3.0,70.44
other,2045.0,4.0,3.0,3.0,154.0
other,1340.0,2.0,1.0,3.0,100.0
bannerghatta,3012.0,6.0,2.0,4.0,250.0
other,2559.0,1.0,1.0,1.0,55.0
jalahalli east,1260.0,2.0,1.0,3.0,60.0
other,1500.0,2.0,2.0,3.0,125.0
akshaya nagar,1700.0,3.0,1.0,3.0,80.0
electronic city,1128.0,2.0,1.0,2.0,64.0
electronic city phase ii,1160.0,2.0,1.0,2.0,33.5
banashankari,1105.0,2.0,2.0,2.0,90.0
ramagondanahalli,1151.0,2.0,2.0,2.0,43.6
other,1550.0,4.0,1.0,4.0,120.0
other,1080.0,2.0,2.0,2.0,38.0
hebbal,1355.0,3.0,1.0,3.0,83.87
other,1641.0,3.0,2.0,3.0,66.0
other,1308.0,2.0,2.0,2.0,92.66
harlur,1033.0,2.0,2.0,2.0,49.0
jalahalli,1569.0,3.0,2.0,3.0,118.0
sanjay nagar,1180.0,2.0,3.0,2.0,80.0
talaghattapura,1150.0,2.0,0.0,2.0,28.0
malleshpalya,1052.0,2.0,2.0,2.0,50.0
raja rajeshwari nagar,1143.0,2.0,2.0,2.0,38.65
hrbr layout,1301.0,2.0,1.0,2.0,120.0
tc palaya,1000.0,2.0,0.0,2.0,64.0
electronic city phase ii,1000.0,2.0,1.0,2.0,28.88
other,1632.0,3.0,1.0,4.0,128.0
hennur road,1936.0,3.0,1.0,3.0,131.0
kumaraswami layout,1200.0,3.0,1.0,3.0,75.0
marathahalli,950.0,2.0,1.0,2.0,45.68
epip zone,1860.0,3.0,2.0,3.0,130.0
kadugodi,1762.0,3.0,3.0,3.0,91.45
hennur road,1350.0,2.0,3.0,2.0,49.0
other,1100.0,2.0,1.0,2.0,45.0
hennur,1255.0,2.0,1.0,2.0,55.5
yelahanka new town,500.0,1.0,1.0,1.0,18.0
other,1625.0,3.0,2.0,3.0,95.0
margondanahalli,1152.0,1.0,0.0,2.0,66.0
kanakpura road,1691.2,3.0,1.0,3.0,115.0
other,1477.0,2.0,2.0,3.0,80.0
raja rajeshwari nagar,1450.0,2.0,1.0,3.0,67.0
kudlu gate,1183.0,2.0,1.0,2.0,79.54
kanakpura road,1300.0,2.0,1.0,2.0,89.76
other,1215.0,2.0,3.0,3.0,50.0
hoodi,1500.0,2.0,1.0,2.0,84.0
electronic city,1070.0,2.0,1.0,2.0,55.0
